station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level,dispatch_strategy
板橋地政事務所,0.0,0.0,0.0,-1.0,-1.1666666666666667,-2.0,-7.0,0.0,穩定休閒型,9.0,Low,常規運營監控
板橋戶政事務所,0.0,0.0,0.0,,-1.2857142857142858,0.0,-9.0,0.0,穩定休閒型,9.0,Low,常規運營監控
板橋果菜批發市場,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,穩定休閒型,1.0,Low,常規運營監控
板橋真武廟,0.0,0.0,0.0,,-1.0909090909090908,0.0,-12.0,0.0,穩定休閒型,12.0,Low,常規運營監控
板橋福德公園,0.0,0.0,0.0,,-1.0588235294117647,0.0,-18.0,0.0,穩定休閒型,18.0,Low,常規運營監控
板橋第一運動場,0.0,0.0,0.0,-1.3333333333333333,-1.0,-4.0,-1.0,0.0,穩定休閒型,5.0,Low,常規運營監控
板橋第二運動場(皇翔建設),0.0,0.0,0.0,,-1.2142857142857142,0.0,-17.0,0.0,穩定休閒型,17.0,Low,常規運營監控
板橋車站,0.0,0.0,0.0,,-1.125,0.0,-9.0,0.0,穩定休閒型,9.0,Low,常規運營監控
板橋車站(新站路),0.0,0.0,0.0,,-1.125,0.0,-9.0,0.0,穩定休閒型,9.0,Low,常規運營監控
板橋重慶公園,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
林口公園,7140.0,0.49257703081232496,0.34061624649859945,9.928571428571429,-7.070796460176991,834.0,-799.0,9.672697999592923,潮汐流出型,1633.0,High,早高峰前提前補車
林口新創園,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
林安泰古厝,3075.0,0.471869918699187,0.4559349593495935,-1.7380952380952381,1.054054054054054,-146.0,117.0,5.523858823716246,潮汐流入型,263.0,Medium,定時監控與小規模調度
林建生紀念圖書館,0.0,0.0,0.0,-1.0,-1.5,-1.0,-9.0,0.0,穩定休閒型,10.0,Low,常規運營監控
林本源園邸,0.0,0.0,0.0,-1.0,-1.25,-4.0,-5.0,0.0,穩定休閒型,9.0,Low,常規運營監控
林森仁愛路口,3543.0,0.5306237651707593,0.2514817950889077,-4.666666666666667,3.544642857142857,-392.0,397.0,6.20068567767094,潮汐流入型,789.0,High,高峰前提前清空車位
林森公園,7002.0,0.39103113396172523,0.319908597543559,0.5833333333333334,-5.151785714285714,49.0,-577.0,7.659530214321613,穩定休閒型,626.0,High,周末增加車輛配置
林森北平路口,1250.0,0.4272,0.288,-1.345679012345679,0.819047619047619,-109.0,86.0,2.141970851459365,穩定休閒型,195.0,Medium,定時監控與小規模調度
林森徐州路口,7692.0,0.4799791991679667,0.25260010400416016,-1.619047619047619,2.893805309734513,-136.0,327.0,9.998605756925022,潮汐流入型,463.0,High,高峰前提前清空車位
林森德惠街口,4497.0,0.5076717811874583,0.27507227040249055,-0.9285714285714286,-1.1696428571428572,-78.0,-131.0,5.8008435209804485,通勤型,209.0,Medium,定時監控與小規模調度
林森濟南路口(東北側),4547.0,0.4928524301737409,0.23839894435891798,-0.09523809523809523,0.9464285714285714,-8.0,106.0,6.454769098928548,穩定休閒型,114.0,Low,常規運營監控
林森農安街口,3645.0,0.4534979423868313,0.3083676268861454,-0.21428571428571427,-1.1428571428571428,-18.0,-128.0,4.354122714699474,穩定休閒型,146.0,Medium,定時監控與小規模調度
林森長春路口,13283.0,0.41150342543100205,0.29609275013174735,-10.464285714285714,-5.767857142857143,-879.0,-646.0,14.13251641552589,穩定休閒型,1525.0,High,周末增加車輛配置
柑園國小,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,穩定休閒型,2.0,Low,常規運營監控
柑園街一段51巷口,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,穩定休閒型,2.0,Low,常規運營監控
柑園街二段363巷口,0.0,0.0,0.0,,-1.0,0.0,-1.0,,穩定休閒型,1.0,Low,常規運營監控
柳堤公園,0.0,0.0,0.0,-1.0,-1.1538461538461537,-1.0,-15.0,0.0,穩定休閒型,16.0,Low,常規運營監控
柳鄉公園,2463.0,0.45513601299228584,0.3520097442143727,3.142857142857143,-2.955357142857143,264.0,-331.0,3.7004607130437206,潮汐流出型,595.0,High,早高峰前提前補車
柴埕市民活動中心,0.0,0.0,0.0,,-1.1875,0.0,-19.0,0.0,穩定休閒型,19.0,Low,常規運營監控
格致中學,0.0,0.0,0.0,,-1.0,0.0,-2.0,0.0,穩定休閒型,2.0,Low,常規運營監控
桂林昆明街口,5719.0,0.4759573351984613,0.298828466515125,6.142857142857143,-2.5945945945945947,516.0,-288.0,6.541435879244626,潮汐流出型,804.0,High,早高峰前提前補車
桃園火車站(前站),0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
