ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-10-31 04:00:00,6018.833431677595,-7596.874843326175,1455.2892329639346,6018.833431677595,6018.833431677595,-9300.722184410932,-9300.722184410932,-9300.722184410932,-7857.823318676029,-7857.823318676029,-7857.823318676029,-1442.8988657349018,-1442.8988657349018,-1442.8988657349018,0.0,0.0,0.0,-3281.8887527333363
2024-10-31 05:00:00,6011.251975642813,-5019.203067017875,4127.585055687095,6011.251975642813,6011.251975642813,-6615.910272090026,-6615.910272090026,-6615.910272090026,-5185.374344657427,-5185.374344657427,-5185.374344657427,-1430.5359274325992,-1430.5359274325992,-1430.5359274325992,0.0,0.0,0.0,-604.6582964472136
2024-10-31 06:00:00,6003.670519608031,-1231.6064849777013,7648.615749078813,6003.670519608031,6003.670519608031,-2970.7026164400445,-2970.7026164400445,-2970.7026164400445,-1558.3469864939218,-1558.3469864939218,-1558.3469864939218,-1412.3556299461231,-1412.3556299461231,-1412.3556299461231,0.0,0.0,0.0,3032.9679031679866
2024-10-31 07:00:00,5996.089063573248,1504.3570578965812,10531.149016223764,5996.089063573248,5996.089063573248,150.81792551681727,150.81792551681727,150.81792551681727,1539.1415568340306,1539.1415568340306,1539.1415568340306,-1388.323631317214,-1388.323631317214,-1388.323631317214,0.0,0.0,0.0,6146.906989090065
2024-10-31 08:00:00,5988.507607538467,3749.2478488732954,12140.223406383167,5988.507607538467,5988.507607538467,1748.6869800747802,1748.6869800747802,1748.6869800747802,3107.1249395694117,3107.1249395694117,3107.1249395694117,-1358.437959494631,-1358.437959494631,-1358.437959494631,0.0,0.0,0.0,7737.194587613247
2024-10-31 09:00:00,5980.926151503684,3352.843815301079,12365.110785787529,5980.905397753643,5981.009175359849,1834.7509393929327,1834.7509393929327,1834.7509393929327,3157.4813913497096,3157.4813913497096,3157.4813913497096,-1322.730451956777,-1322.730451956777,-1322.730451956777,0.0,0.0,0.0,7815.677090896617
2024-10-31 10:00:00,5973.3446954689025,2797.8089265241215,11704.272672474886,5973.155827260804,5973.561968669052,1144.6162455190445,1144.6162455190445,1144.6162455190445,2425.8842032115413,2425.8842032115413,2425.8842032115413,-1281.267957692497,-1281.267957692497,-1281.267957692497,0.0,0.0,0.0,7117.960940987947
2024-10-31 11:00:00,5965.76323943412,2063.8225024734697,10782.851703648737,5965.320220450357,5966.124047164456,452.91811899772546,452.91811899772546,452.91811899772546,1687.0713968467549,1687.0713968467549,1687.0713968467549,-1234.1532778490296,-1234.1532778490296,-1234.1532778490296,0.0,0.0,0.0,6418.681358431845
2024-10-31 12:00:00,5958.181783399336,1783.2517671112516,10672.329835552579,5957.555935224577,5958.731755722865,159.87464687784043,159.87464687784043,159.87464687784043,1341.400470655174,1341.400470655174,1341.400470655174,-1181.5258237773326,-1181.5258237773326,-1181.5258237773326,0.0,0.0,0.0,6118.056430277177
2024-10-31 13:00:00,5950.600327364555,1846.613126552194,11061.053342634716,5949.680310624814,5951.291206583148,394.116770298547,394.116770298547,394.116770298547,1517.678744178602,1517.678744178602,1517.678744178602,-1123.5619738800547,-1123.5619738800547,-1123.5619738800547,0.0,0.0,0.0,6344.717097663101
2024-10-31 14:00:00,5943.018871329772,3006.153018033936,11781.85846267225,5941.75436711268,5943.953591811828,1285.9239337697675,1285.9239337697675,1285.9239337697675,2346.3990472634764,2346.3990472634764,2346.3990472634764,-1060.475113493709,-1060.475113493709,-1060.475113493709,0.0,0.0,0.0,7228.942805099539
2024-10-31 15:00:00,5935.437415294991,4321.336515944265,13426.444938595108,5933.859857467054,5936.709654253334,2939.422895330071,2939.422895330071,2939.422895330071,3931.9382406670475,3931.9382406670475,3931.9382406670475,-992.5153453369765,-992.5153453369765,-992.5153453369765,0.0,0.0,0.0,8874.860310625063
2024-10-31 16:00:00,5927.855959260208,6614.132811176942,15175.15976926267,5925.935571273981,5929.4363292518965,5076.724640329224,5076.724640329224,5076.724640329224,5996.69350186501,5996.69350186501,5996.69350186501,-919.9688615357859,-919.9688615357859,-919.9688615357859,0.0,0.0,0.0,11004.580599589432
2024-10-31 17:00:00,5920.274503225426,8193.781461214045,17114.04808319722,5917.851555638274,5922.274731876189,6823.585962811085,6823.585962811085,6823.585962811085,7666.742934468817,7666.742934468817,7666.742934468817,-843.1569716577314,-843.1569716577314,-843.1569716577314,0.0,0.0,0.0,12743.86046603651
2024-10-31 18:00:00,5912.6930471906435,8713.477840976037,17329.449549872894,5909.858444188485,5914.959659033713,7072.492375735033,7072.492375735033,7072.492375735033,7834.927160843514,7834.927160843514,7834.927160843514,-762.4347851084802,-762.4347851084802,-762.4347851084802,0.0,0.0,0.0,12985.185422925677
2024-10-31 19:00:00,5905.111591155861,6397.662496032638,15320.548055596388,5901.712786700486,5907.815920278898,5277.0691077660895,5277.0691077660895,5277.0691077660895,5955.258657885535,5955.258657885535,5955.258657885535,-678.1895501194451,-678.1895501194451,-678.1895501194451,0.0,0.0,0.0,11182.180698921951
2024-10-31 20:00:00,5897.530135121079,3092.6137049612926,12704.08428043142,5893.847974659866,5900.733824658396,1992.9573326055893,1992.9573326055893,1992.9573326055893,2583.7959878582,2583.7959878582,2583.7959878582,-590.8386552526105,-590.8386552526105,-590.8386552526105,0.0,0.0,0.0,7890.487467726669
2024-10-31 21:00:00,5889.948679086296,46.56297462588708,9015.502663987305,5885.980881521728,5893.714372246293,-1413.338608441752,-1413.338608441752,-1413.338608441752,-912.5113049811921,-912.5113049811921,-912.5113049811921,-500.82730346056024,-500.82730346056024,-500.82730346056024,0.0,0.0,0.0,4476.610070644543
2024-10-31 22:00:00,5882.367223051515,-1702.6778842359365,6763.591617337526,5877.853913086037,5886.722811053683,-3741.4417972923984,-3741.4417972923984,-3741.4417972923984,-3332.8159247271647,-3332.8159247271647,-3332.8159247271647,-408.6258725652336,-408.6258725652336,-408.6258725652336,0.0,0.0,0.0,2140.9254257591165
2024-10-31 23:00:00,5874.785767016732,-3483.5392595216167,5448.717362933643,5869.708391624066,5879.53681349621,-4804.439441122858,-4804.439441122858,-4804.439441122858,-4489.712461374288,-4489.712461374288,-4489.712461374288,-314.72697974856925,-314.72697974856925,-314.72697974856925,0.0,0.0,0.0,1070.3463258938746
2024-11-01 00:00:00,5867.204310981951,-3916.703231970471,4942.052498720564,5861.584792874067,5872.407239358118,-5390.833852445926,-5390.833852445926,-5390.833852445926,-5171.19158118998,-5171.19158118998,-5171.19158118998,-219.6422712559462,-219.6422712559462,-219.6422712559462,0.0,0.0,0.0,476.37045853602467
2024-11-01 01:00:00,5859.622854947167,-4607.00692576929,4178.899687472084,5853.413480234249,5865.402749314271,-6367.916382590275,-6367.916382590275,-6367.916382590275,-6244.017420456232,-6244.017420456232,-6244.017420456232,-123.89896213404378,-123.89896213404378,-123.89896213404378,0.0,0.0,0.0,-508.29352764310806
2024-11-01 02:00:00,5852.041398912386,-6245.72482269586,2554.1715626506243,5845.233119484121,5858.322112266276,-7744.083653962067,-7744.083653962067,-7744.083653962067,-7716.0475001087125,-7716.0475001087125,-7716.0475001087125,-28.03615385335476,-28.03615385335476,-28.03615385335476,0.0,0.0,0.0,-1892.0422550496805
2024-11-01 03:00:00,5844.459942877603,-7434.920362952371,1938.4634241329006,5837.077831300381,5851.283250328554,-8556.298351707119,-8556.298351707119,-8556.298351707119,-8623.697390817755,-8623.697390817755,-8623.697390817755,67.399039110637,67.399039110637,67.399039110637,0.0,0.0,0.0,-2711.838408829516
2024-11-01 04:00:00,5836.87848684282,-6234.378054966046,2787.8898942782585,5828.892130722311,5844.028139134568,-7695.967798447956,-7695.967798447956,-7695.967798447956,-7857.823318745998,-7857.823318745998,-7857.823318745998,161.85552029804217,161.85552029804217,161.85552029804217,0.0,0.0,0.0,-1859.0893116051357
2024-11-01 05:00:00,5829.297030808039,-3625.9594834353566,5410.67524477659,5820.826164341715,5837.006885663559,-4930.591980687583,-4930.591980687583,-4930.591980687583,-5185.374344597053,-5185.374344597053,-5185.374344597053,254.78236390946992,254.78236390946992,254.78236390946992,0.0,0.0,0.0,898.7050501204567
2024-11-01 06:00:00,5821.715574773256,-278.8105752577953,8856.536361670687,5812.775391014189,5830.227388482875,-1212.7139353193002,-1212.7139353193002,-1212.7139353193002,-1558.3469864157337,-1558.3469864157337,-1558.3469864157337,345.633051096434,345.633051096434,345.633051096434,0.0,0.0,0.0,4609.001639453956
2024-11-01 07:00:00,5814.134118738474,3329.7949378051358,12282.814803154844,5804.564667581273,5823.1657267125765,1973.0113075241707,1973.0113075241707,1973.0113075241707,1539.1415568959558,1539.1415568959558,1539.1415568959558,433.86975062821534,433.86975062821534,433.86975062821534,0.0,0.0,0.0,7787.145426262645
2024-11-01 08:00:00,5806.552662703692,5240.993001658692,14017.519679149225,5796.3717953689575,5816.264080854531,3626.0925428219675,3626.0925428219675,3626.0925428219675,3107.1249395936684,3107.1249395936684,3107.1249395936684,518.9676032282986,518.9676032282986,518.9676032282986,0.0,0.0,0.0,9432.64520552566
2024-11-01 09:00:00,5798.971206668911,5237.197537427575,13965.632761219358,5788.005979969678,5809.388615835473,3757.9003597835713,3757.9003597835713,3757.9003597835713,3157.4813913559624,3157.4813913559624,3157.4813913559624,600.4189684276095,600.4189684276095,600.4189684276095,0.0,0.0,0.0,9556.871566452483
2024-11-01 10:00:00,5791.389750634127,4681.473810594081,13458.10139893106,5779.813409486009,5802.4703905792685,3103.6217953773094,3103.6217953773094,3103.6217953773094,2425.8842031787126,2425.8842031787126,2425.8842031787126,677.7375921985965,677.7375921985965,677.7375921985965,0.0,0.0,0.0,8895.011546011436
